long,lat,long_count,short_count,long_pct,short_pct,short-long
-74.05,40.6,0,0,0,0,
-74.05,40.601,0,0,0,0,
-74.05,40.602,0,0,0,0,
-74.05,40.603,0,0,0,0,
-74.05,40.604,1,0,3.19602E-09,0,0
-74.05,40.605,4,0,1.27841E-08,0,0
-74.05,40.606,0,1,0,5.23045E-07,
-74.05,40.607,0,0,0,0,
-74.05,40.608,0,0,0,0,
-74.05,40.609,0,0,0,0,
-74.05,40.61,1,0,3.19602E-09,0,0
-74.05,40.611,0,0,0,0,
-74.05,40.612,0,0,0,0,
-74.05,40.613,0,0,0,0,
-74.05,40.614,0,0,0,0,
-74.05,40.615,0,0,0,0,
-74.05,40.616,0,0,0,0,
-74.05,40.617,0,0,0,0,
-74.05,40.618,0,0,0,0,
-74.05,40.619,0,0,0,0,
-74.05,40.62,0,0,0,0,
-74.05,40.621,0,0,0,0,
-74.05,40.622,0,0,0,0,
-74.05,40.623,0,0,0,0,
-74.05,40.624,0,0,0,0,
-74.05,40.625,0,0,0,0,
-74.05,40.626,0,0,0,0,
-74.05,40.627,0,0,0,0,
-74.05,40.628,1,0,3.19602E-09,0,0
-74.05,40.629,1,0,3.19602E-09,0,0
-74.05,40.63,0,0,0,0,
-74.05,40.631,0,0,0,0,
-74.05,40.632,0,0,0,0,
-74.05,40.633,0,0,0,0,
-74.05,40.634,0,0,0,0,
-74.05,40.635,0,0,0,0,
-74.05,40.636,0,0,0,0,
-74.05,40.637,0,0,0,0,
-74.05,40.638,0,0,0,0,
-74.05,40.639,0,0,0,0,
-74.05,40.64,0,0,0,0,
-74.05,40.641,0,0,0,0,
-74.05,40.642,0,0,0,0,
-74.05,40.643,0,0,0,0,
-74.05,40.644,0,0,0,0,
-74.05,40.645,0,0,0,0,
-74.05,40.646,0,0,0,0,
-74.05,40.647,0,0,0,0,
-74.05,40.648,0,0,0,0,
-74.05,40.649,1,0,3.19602E-09,0,0
-74.05,40.65,0,0,0,0,
-74.05,40.651,0,0,0,0,
-74.05,40.652,0,0,0,0,
-74.05,40.653,0,0,0,0,
-74.05,40.654,0,0,0,0,
-74.05,40.655,0,0,0,0,
-74.05,40.656,0,0,0,0,
-74.05,40.657,0,0,0,0,
-74.05,40.658,0,0,0,0,
-74.05,40.659,42,0,1.34233E-07,0,0
-74.05,40.66,0,0,0,0,
-74.05,40.661,0,0,0,0,
-74.05,40.662,0,0,0,0,
-74.05,40.663,0,0,0,0,
-74.05,40.664,0,0,0,0,
-74.05,40.665,0,0,0,0,
-74.05,40.666,0,0,0,0,
-74.05,40.667,2,0,6.39204E-09,0,0
-74.05,40.668,20,0,6.39204E-08,0,0
-74.05,40.669,0,0,0,0,
-74.05,40.67,0,0,0,0,
-74.05,40.671,0,0,0,0,
-74.05,40.672,1,0,3.19602E-09,0,0
-74.05,40.673,0,0,0,0,
-74.05,40.674,1,0,3.19602E-09,0,0
-74.05,40.675,0,0,0,0,
-74.05,40.676,0,0,0,0,
-74.05,40.677,0,0,0,0,
-74.05,40.678,0,0,0,0,
-74.05,40.679,1,0,3.19602E-09,0,0
-74.05,40.68,0,0,0,0,
-74.05,40.681,0,0,0,0,
-74.05,40.682,2,0,6.39204E-09,0,0
-74.05,40.683,4,0,1.27841E-08,0,0
-74.05,40.684,0,0,0,0,
-74.05,40.685,0,0,0,0,
-74.05,40.686,0,0,0,0,
-74.05,40.687,0,0,0,0,
-74.05,40.688,0,0,0,0,
-74.05,40.689,0,0,0,0,
-74.05,40.69,0,0,0,0,
-74.05,40.691,0,0,0,0,
-74.05,40.692,2,0,6.39204E-09,0,0
-74.05,40.693,3,0,9.58806E-09,0,0
-74.05,40.694,1,0,3.19602E-09,0,0
-74.05,40.695,0,0,0,0,
-74.05,40.696,1,0,3.19602E-09,0,0
-74.05,40.697,2,0,6.39204E-09,0,0
-74.05,40.698,0,0,0,0,
-74.05,40.699,1,0,3.19602E-09,0,0
-74.05,40.7,1,0,3.19602E-09,0,0
-74.05,40.701,1,0,3.19602E-09,0,0
-74.05,40.702,0,0,0,0,
-74.05,40.703,0,0,0,0,
-74.05,40.704,0,0,0,0,
-74.05,40.705,4,0,1.27841E-08,0,0
-74.05,40.706,0,0,0,0,
-74.05,40.707,0,0,0,0,
-74.05,40.708,0,0,0,0,
-74.05,40.709,2,0,6.39204E-09,0,0
-74.05,40.71,2,0,6.39204E-09,0,0
-74.05,40.711,1,0,3.19602E-09,0,0
-74.05,40.712,1,0,3.19602E-09,0,0
-74.05,40.713,2,0,6.39204E-09,0,0
-74.05,40.714,1,0,3.19602E-09,0,0
-74.05,40.715,7,0,2.23722E-08,0,0
-74.05,40.716,15,6,4.79403E-08,3.13827E-06,65.46195724
-74.05,40.717,14,0,4.47443E-08,0,0
-74.05,40.718,22,4,7.03125E-08,2.09218E-06,29.75543511
-74.05,40.719,17,4,5.43324E-08,2.09218E-06,38.50703367
-74.05,40.72,4,0,1.27841E-08,0,0
-74.05,40.721,99,34,3.16406E-07,1.77835E-05,56.20471076
-74.05,40.722,34,6,1.08665E-07,3.13827E-06,28.88027525
-74.05,40.723,52,18,1.66193E-07,9.4148E-06,56.64977069
-74.05,40.724,69,35,2.20525E-07,1.83066E-05,83.01335158
-74.05,40.725,43,12,1.37429E-07,6.27653E-06,45.67113296
-74.05,40.726,12,1,3.83523E-08,5.23045E-07,13.63790776
-74.05,40.727,83,47,2.6527E-07,2.45831E-05,92.6720479
-74.05,40.728,79,33,2.52486E-07,1.72605E-05,68.36217054
-74.05,40.729,32,8,1.02273E-07,4.18436E-06,40.91372328
-74.05,40.73,4,0,1.27841E-08,0,0
-74.05,40.731,25,1,7.99005E-08,5.23045E-07,6.546195724
-74.05,40.732,2,1,6.39204E-09,5.23045E-07,81.82744655
-74.05,40.733,1,0,3.19602E-09,0,0
-74.05,40.734,16,5,5.11363E-08,2.61522E-06,51.1421541
-74.05,40.735,21,8,6.71165E-08,4.18436E-06,62.34472118
-74.05,40.736,13,6,4.15483E-08,3.13827E-06,75.53302759
-74.05,40.737,21,7,6.71165E-08,3.66131E-06,54.55163104
-74.05,40.738,19,13,6.07244E-08,6.79958E-06,111.9744005
-74.05,40.739,35,19,1.11861E-07,9.93785E-06,88.84122769
-74.05,40.74,16,0,5.11363E-08,0,0
-74.05,40.741,11,3,3.51562E-08,1.56913E-06,44.63315267
-74.05,40.742,8,0,2.55682E-08,0,0
-74.05,40.743,11,2,3.51562E-08,1.04609E-06,29.75543511
-74.05,40.744,4,2,1.27841E-08,1.04609E-06,81.82744655
-74.05,40.745,9,2,2.87642E-08,1.04609E-06,36.36775402
-74.05,40.746,10,1,3.19602E-08,5.23045E-07,16.36548931
-74.05,40.747,8,0,2.55682E-08,0,0
-74.05,40.748,2,0,6.39204E-09,0,0
-74.05,40.749,3,0,9.58806E-09,0,0
-74.05,40.75,14,6,4.47443E-08,3.13827E-06,70.13781133
-74.05,40.751,6,0,1.91761E-08,0,0
-74.05,40.752,4,2,1.27841E-08,1.04609E-06,81.82744655
-74.05,40.753,10,8,3.19602E-08,4.18436E-06,130.9239145
-74.05,40.754,4,0,1.27841E-08,0,0
-74.05,40.755,5,3,1.59801E-08,1.56913E-06,98.19293586
-74.05,40.756,1,0,3.19602E-09,0,0
-74.05,40.757,6,0,1.91761E-08,0,0
-74.05,40.758,4,2,1.27841E-08,1.04609E-06,81.82744655
-74.05,40.759,4,0,1.27841E-08,0,0
-74.05,40.76,4,0,1.27841E-08,0,0
-74.05,40.761,2,0,6.39204E-09,0,0
-74.05,40.762,3,0,9.58806E-09,0,0
-74.05,40.763,1,0,3.19602E-09,0,0
-74.05,40.764,3,0,9.58806E-09,0,0
-74.05,40.765,1,0,3.19602E-09,0,0
-74.05,40.766,1,0,3.19602E-09,0,0
-74.05,40.767,2,0,6.39204E-09,0,0
-74.05,40.768,0,0,0,0,
-74.05,40.769,0,0,0,0,
-74.05,40.77,0,0,0,0,
-74.05,40.771,0,0,0,0,
-74.05,40.772,0,0,0,0,
-74.05,40.773,1,0,3.19602E-09,0,0
-74.05,40.774,1,0,3.19602E-09,0,0
-74.05,40.775,1,0,3.19602E-09,0,0
-74.05,40.776,2,0,6.39204E-09,0,0
-74.05,40.777,1,0,3.19602E-09,0,0
-74.05,40.778,1,0,3.19602E-09,0,0
-74.05,40.779,16,1,5.11363E-08,5.23045E-07,10.22843082
-74.05,40.78,0,0,0,0,
-74.05,40.781,1,1,3.19602E-09,5.23045E-07,163.6548931
-74.05,40.782,3,0,9.58806E-09,0,0
-74.05,40.783,0,0,0,0,
-74.05,40.784,1,0,3.19602E-09,0,0
-74.05,40.785,5,0,1.59801E-08,0,0
-74.05,40.786,1,0,3.19602E-09,0,0
-74.05,40.787,1,0,3.19602E-09,0,0
-74.05,40.788,38,6,1.21449E-07,3.13827E-06,25.84024628
-74.05,40.789,7,0,2.23722E-08,0,0
-74.05,40.79,37,18,1.18253E-07,9.4148E-06,79.61589394
-74.05,40.791,23,7,7.35085E-08,3.66131E-06,49.80801095
-74.05,40.792,1,0,3.19602E-09,0,0
-74.05,40.793,2,0,6.39204E-09,0,0
-74.05,40.794,3,0,9.58806E-09,0,0
-74.05,40.795,1,0,3.19602E-09,0,0
-74.05,40.796,0,0,0,0,
-74.05,40.797,0,0,0,0,
-74.05,40.798,0,0,0,0,
-74.05,40.799,4,0,1.27841E-08,0,0
-74.05,40.8,1,0,3.19602E-09,0,0
-74.05,40.801,2,0,6.39204E-09,0,0
-74.05,40.802,0,0,0,0,
-74.05,40.803,0,0,0,0,
-74.05,40.804,0,0,0,0,
-74.05,40.805,1,0,3.19602E-09,0,0
-74.05,40.806,1,0,3.19602E-09,0,0
-74.05,40.807,0,0,0,0,
-74.05,40.808,0,0,0,0,
-74.05,40.809,0,0,0,0,
-74.05,40.81,0,0,0,0,
-74.05,40.811,1,0,3.19602E-09,0,0
-74.05,40.812,1,0,3.19602E-09,0,0
-74.05,40.813,0,0,0,0,
-74.05,40.814,2,0,6.39204E-09,0,0
-74.05,40.815,0,0,0,0,
-74.05,40.816,1,0,3.19602E-09,0,0
-74.05,40.817,0,0,0,0,
-74.05,40.818,0,0,0,0,
-74.05,40.819,0,0,0,0,
-74.05,40.82,0,0,0,0,
-74.05,40.821,0,0,0,0,
-74.05,40.822,0,0,0,0,
-74.05,40.823,0,0,0,0,
-74.05,40.824,0,0,0,0,
-74.05,40.825,0,0,0,0,
-74.05,40.826,0,0,0,0,
-74.05,40.827,0,0,0,0,
-74.05,40.828,1,0,3.19602E-09,0,0
-74.05,40.829,0,0,0,0,
-74.05,40.83,0,0,0,0,
-74.05,40.831,1,0,3.19602E-09,0,0
-74.05,40.832,0,0,0,0,
-74.05,40.833,2,4,6.39204E-09,2.09218E-06,327.3097862
-74.05,40.834,0,0,0,0,
-74.05,40.835,0,0,0,0,
-74.05,40.836,1,1,3.19602E-09,5.23045E-07,163.6548931
-74.05,40.837,0,0,0,0,
-74.05,40.838,3,0,9.58806E-09,0,0
-74.05,40.839,1,0,3.19602E-09,0,0
-74.05,40.84,0,0,0,0,
-74.05,40.841,0,0,0,0,
-74.05,40.842,0,0,0,0,
